judge,paradigm
Christian,"Who am I?
Assistant Director of Debate, The Blake School MN - 2014 to present
Co-Director, Public Forum Boot Camp(Check our website here) MN - 2021 to present
Assistant Debate Coach, Blaine High School - 2013 to 2014
My preferred debates are ones in which both teams have come prepared to engage each
other with some reasonable expectation as to what the other team is going to read.
Debaters should have to defend both their scholarship and practices in round. If you've
chosen to not disclose, are unable to explain why the aff doesn't link to the K, or are
otherwise unprepared, you're fully welcome to try to explain why you should not lose in a
varsity level competition. However, strategies that are purposefully meant to run to the
margins and seek incredibly small pieces of offense in order to eke out a win due to the
reliance on shoddy scholarship, conspiracy-peddlers, or outright fabrication will be met
with intervention. If your argument will fall apart the moment I spend maybe thirty
seconds to confirm something for my RFD, you should strike me.
This activity only exists so long as we implement practices that allow it to. All of our time in
debate is limited(though some rounds can feel like an endless purgatory or the tenth layer
of hell) but the implications of how rounds are conducted and behavior that is put forth as
an example will echo far into the future. You should want to win because you put in more
effort and worked harder.
Prior to the round
Please add my personal email christian.vasquez212@gmail.com and
blakedebatedocs@googlegroups.com to the chain.
The start time listed on ballots/schedules is when a round should begin, not that everyone
should arrive there. Even if I am not there for it, you should feel free to complete the flip
and send out an email chain.
The first speaking team should initiate the chain, with the subject line reading some
version of “Tournament Name, Round Number - 1st Speaking Team(Aff or Neg) vs 2nd
Speaking Team(Aff or neg).”
I do not care what you wear(as long as it’s appropriate for school) or if you stand or sit. I
have zero qualms about music being played, poetry being read, or non-typical arguments
being made.
Non-negotiables
I will be personally timing rounds since plenty of varsity level debaters no longer know
how clocks work. There is no grace period, there are no concluding thoughts. When the
timer goes off, your speech or question/answer is over. Beyond that, there are a few things
I will no longer budge on:
1. You must read from cut cards the first time evidence is introduced into a round. The
experiment with paraphrasing in a debate event was an interesting one, but the activity has
shown itself to be unable to self-police what is and what is not academically dishonest
representations of evidence. Comparisons to the work researchers and professors do in
their professional life I think is laughable. Some of the shoddy evidence work I’ve seen be
passed off in this activity would have you fired in those contexts, whereas here it will
probably get you in late elimination rounds.
2. The inability to produce a piece of evidence when asked for it will end the round
immediately. Taking more than thirty seconds to produce the evidence is unacceptable as
that shows me you didn’t read from it to begin with.
3. Arguments that are racist, sexist, transphobic, etc. will end the round immediately in an L
and as few speaker points as Tab allows me to give out.
4. Questions about what was and wasn’t read in round that are not claims of clipping are signs
of a skill issue and won’t hold up rounds. If you want to ask questions outside of cross, run
your own prep. A team saying “cut card here” or whatever to mark the docs they’ve sent you
is your sign to do so. If you feel personally slighted by the idea that you should flow better
and waste less time in the round, please reconsider your approach to preparing for
competitions that require you to do so.
5. Defense is not “sticky.” If you want something to count in the round, it needs to be included
in your team’s prior speech. The idea that a first speaking team can go “Ah, hah! You forgot
about our trap card” in the final focus after not extending it in summary is ridiculous and
makes a joke out of the event.
6. I will not read off of docs during the round. I will clear you twice if I am not able to
comprehend you.
7. Theory is not a weapon or a trick. Hyper-specific interpretations meant to box the opponent
out of a small difference as to how they’ve conducted a practice are not something I’m
willing to entertain. Objections based on argument construction/sequencing are fine
though.
Negotiables
These are not set in stone, and have changed over time. Running contrary to me on these
positions isn’t a big issue and I can be persuaded in the context of the round.
Tech vs truth
To me, the activity has weirdly defined what “technical” debate is in a way that I believe
undermines the value of the activity. Arguments being true if dropped is only as valid as
the original construction of the argument. Am I opposed to big stick impacts? Absolutely
not, I think they’re worth engaging in and worth making policy decisions around. I
personally enjoy heg, terror, and other extinction level scenarios. But, for example, if you
cannot answer questions regarding what is the motivation for conflict, who would
originally engage in the escalation ladder, or how the decision to launch a nuclear weapon
is conducted, your argument was not valid to begin with. Asking me to close my eyes and
just check the box after essentially saying “yadda yadda, nuclear winter” is as ridiculous as
doing the opposite after hearing “MAD checks” with no explanation.
Teams I think are being rewarded far too often for reading too many contentions in the
constructive that are missing internal links. I am more than just sympathetic to the idea
that calling this out amounts to terminal defense at this point. If they haven’t formed a
coherent argument to begin with, teams shouldn’t be able to masquerade like they have
one.
There isn’t a magical number of contentions that is either good or bad to determine
whether this is an issue or not. The benefit of being a faster team is the ability to actually
get more full arguments out in the round, but that isn’t an advantage if you’re essentially
reading two sentences of a card and calling it good.
I am not a fan of extinction/death good debates. I do not think teams are thoroughly
working through the implications as to what conclusions come from starting down that
path and what supremacist notions are lying underneath. If a villain from a B movie made
in the 80s meant to function as COINTELPRO propaganda would make your same
argument, I don’t really want to hear it. Eco-fascism is still fascism, ableist ideas of what it
means to have a meaningful life are still ableist, and white supremacists are still going to
decide in what order/what people are going to the gallows first.
Theory
In PF debate only, I default to a position of reasonability. I think the theory debates in this
activity, as they’ve been happening, are terribly uninteresting and are mostly binary
choices.
Is disclosure good? Yes
Is paraphrasing bad? Yes
Distinctions beyond these I don’t think are particularly valuable. Going for cheapshots on
specifics I think is an okay starting position for me to say this is a waste of time and not
worth voting for. That being said, I feel like a lot of teams do mis-disclose in PF by just
throwing up huge unedited blocks of texts in their open source section. Proper disclosure
includes the tags that are in case and at least the first and last three words of a card that
you’ve read. To say you open source disclose requires highlighting of the words you have
actually read in round.
That being said, answers that amount to whining aren’t great. Teams that have PF theory
read against them frequently respond in ways that mostly sound like they’re
confused/aghast that someone would question their integrity as debaters and at the end
of the day that’s not an argument. Teams should do more to articulate what specific calls
to do x y or z actually do for the activity, rather than worrying about what they’re feeling. If
your coach requires you to do policy “x” then they should give you reasons to defend
policy “x.” If you’re consistently losing to arguments about what norms in the activity
should look like, that’s a talk you should have with your coach/program advisor about
accepting them or creating better answers.
Kritiks
Overall, I’m sympathetic to these arguments made in any event, but I think that the PF
version of them so far has left me underwhelmed. I am much better for things like cap,
security, fem IR, afro-pess and the like than I am for anything coming from a white pomo
tradition/understanding(French high theory). Survival strategies focused on identity issues
that require voting one way or the other depending on a student’s
identification/orientation I think are bad for debate as a competitive activity.
Kritiks should require some sort of link to either the resolution(since PF doesn’t have plans
really), or something the aff has done argumentatively or with their rhetoric. The
nonexistence of a link means a team has decided to rant for their speech time, and not
included a reason why I should care.
Rejection alternatives are fine(Zizek and others were common when I was in debate for
context) but teams reliant on “discourse” and other vague notions should probably strike
me. If I do not know what voting for a team does, I am uncomfortable to do so and will
actively seek out ways to avoid it."
Kendrick,"Background: I debated at Memorial High School in Houston for 3 years, graduating in
2018. I mainly competed in extemp in high school, and I qualified for TFA State in FX and
the TOC in Extemp and Informative. I also qualified for Nationals in World Schools debate
twice and reached the quarterfinals of World Schools in 2018. My main debate events
were Public Forum and Congress, which I did on and off for the most part.I have largely
judged on the TFA circuit in Texas since I graduated high school in 2018, and I consider
myself most proficient at judging World Schools Debate, Congress, and public speaking
events.
My email for any email chains is knfjudges@gmail.com. My philosophy on email chains is
thus: I like to be on them to evaluate any evidence disputes at the end of round, but I will
not be flowing off the email chain or using it to cover any gaps in my flow. Debate is
fundamentally an oral activity—if it were going to solely be two cut documents warring
against each other, there'd be no reason to have everyone compete in the same room and
try to persuade a decisionmaker orally—so I prefer to judge rounds based on what's said
orally in the round. As a corollary to that, I'm not that good with handling spreading—I
generally flow by hand these days, so I can pretty much only process as fast as I can write.
WSD: Remember that WSD is not LD or PF, and I will not be ""voting on the flow"" the way
that LD and PF judges do. I will generally try to stick to the 68-72 range for each speaker,
although I've found myself going under that range more often than I've gone over. Of
course, this means that you might not like my decision at the end of the day. To lessen the
odds of that happening, here are some tips to maximize the chances of winning my ballot:
For content: ""The House"" is understood to be the whole world unless specified otherwise.
Therefore, your content score will not go above 28 unless you bring solid international
examples to the table. Generally, the more empirical and the less hypothetical evidence you
bring to the table, the better you'll tend to do.
For style: I would say the easiest way to improve style points on my ballot is with speeches
that have personality. Obviously, this will differ from speaker to speaker, but I have rewarded
speakers who depart somewhat from the ""clean speech without fluency errors"" kind of
model and bring humor, personal connections to the topic, anecdotes, etc. to the table.
For strategy: Teams that are consistent down the bench, especially teams that have a
consistent team line, will tend to do better in strategy. I also evaluate POIs here; generally,
teams should take 2 POIs, usually at the transition between points that were elaborated on
during the roadmap.
PF Debate: I want to see a clear claim/warrant/impact structure with clear weighing at the
end of the day; I've frequently found myself wanting some brief framing analysis or meta-
weighing throughout the round as well (especially on evidence quality and strength of
link). I am not receptive to theory or kritikal arguments in PF (this includes disclosure
theory, etc.). The more that the final speeches can give me clear voters and/or write my
RFD for me, the better the round will turn out for you. Defense is not sticky (please carry it
through the flow). Finally, please remember that this is public forum debate, not ""shorter
policy,"" so please avoid spreading, and touches of rhetoric are always welcome (and will be
reflected in your speaker points).
LD Debate: I am open to hearing all kinds of arguments (I do not consider myself a
traditional LD judge), but I simply ask that you explain your arguments well. If I cannot
explain your argument in the RFD on the ballot, I will not vote for that argument. For Ks,
make sure that the link is specific to the case and that the alt makes sense. I will warn you
that I have heard many bad Ks in my life, and while I have voted for Ks in the past, that
doesn't mean I automatically like every K that I hear. In addition, it's really no fun for
anyone to hear rounds where the AFF has never heard of the K, and their only response is
""the NEG doesn't have a value and a criterion so we should win."" So try to remain
respectful of your opponents as well.
Repeated from PF but... I really appreciate good meta-weighing (especially on evidence
quality and strength of link), and the more that the final speeches can give me clear voters
and/or write my RFD for me, the better the round will turn out for you.
Congress: I would say that I prefer content over presentation. When evaluating content, I
look to the type of speech being given (constructive, rebuttal, and crystallization) and my
expectations for each type of speech... Unfortunately, I have found that there are many
constructive speeches given later and later in the chamber, and many so-called rebuttal or
crystallization speeches that neither rebut nor crystallize. Please, please, please remember
that this is congressional DEBATE and not congressional soapbox. I love clash and I hate
repetitious arguments.
Relatedly, I really detest when chambers need to take in-house recesses at the beginning
of items because nobody is prepared to debate. I believe that I have somewhat
contributed to this problem by stating that I prefer well elucidated speeches over speeches
that were extemped in the chamber. To be fair, I don't want to hear these speeches for the
sake of giving a speech, but I am now of the belief that I should reward the representatives
who are actually prepared to debate in my rankings. So do with that what you will.
Public Speaking: In extemp, make sure you answer the question in a well structured
manner. Sources are also important to me; I read both foreign and domestic news on a
regular basis, and BSing a speech is not the way to win my ballot. (For the record: I have
checked sources that sounded fishy, and I have tanked speakers who have egregiously
misrepresented sources. Misremembered the date or the publication for a source? Fine,
I've done that before, and I'll give you the benefit of the doubt! Told me that Boko Haram
has attacked Egypt or that a New York Times editorial praised El Salvador's Bitcoin
experiment when, in fact, it panned it? Not OK!)
For all events, I enjoy humor; for the two platform events, I also like to hear a personal
connection to the topic throughout the speech, as well as unique takes on common topics.
Please elucidate the stakes for your speech so we know why it's important that we listen to
you for 10 minutes about a given topic."
Soma,"I have two years of judging experience. I keep a detailed, rigorous flow to track arguments
and dropped points, no spreading."
Devesh,"I will judge based on the below points:
1. Please try to go slow so that I am able to clearly understand.
2. Please provide the strong evidences to support your case. Theoretical evidences will be
dropped.
3. Please be polite to the other team. The argument should be based on facts collected by you.
4. Please ensure to keep the track of time.
Have fun and enjoy!"
Kian,"I did PF in high school, and I’m in university now. I am a flow judge and generally
tech>truth. Tournament permitting, I will disclose and give RFD - time permitting, I will be
as thorough as possible. My feedback is meant to help you improve in debate, so make
sure to ask questions if needed; judges are your resources.
How to win the round:
1. WARRANT everything. Don't just read card names. Be thorough in explaining your logic and
layering your cards to build a sound argument.
2. WEIGH starting in rebuttal. Compare your impacts to your opponents’, and tell me why yours
is better through magnitude, probability, time frame, etc. Good weighing = why I should
vote for you.
3. Have a NARRATIVE throughout the round, from start to finish. Treat your case like a story, and
always be clear, cohesive, and concise.
Strategic Advice/Preferences:
1. Collapse and extend. You are really unlikely to win by going for ALL 5 contentions. Try not to
bring up new things in summary, and definitely not in final focus (I won't flow it).
2. Framework that is uncontested or conceded will be used to evaluate the round.
3. Signpost where you are on the flow. It helps you, your opponents, and me. I appreciate line-
by-line debating.
4. Time yourself. I will also time and let you know when you are over. I would rather hear you
finish your point than cut it off abruptly but consistently going overtime is generally
disrespectful as tournaments run on a schedule (I may dock your speaker points).
5. Crossfire is to ask questions, not to read cards, unless both teams agree to it. I don’t
flow/decide on cross so make sure to bring anything important back into your speeches.
6. Read relevant content warnings before case.
7. I prefer sharing case + cards in email chain (or Google doc) as I find it improves the
accessibility of debate, but it is up to the teams to go with/without it.
8. I prefer you don't run theory/k’s.
Finally:
DO NOT be discriminatory, rude, abusive, insensitive, etc - You risk being reported or at
best you will get a 25. There is absolutely no place for this in debate (or anywhere else).
Always conduct yourself in a way you, your team, and your coaches can be proud of.
Let me know if you need anything extra and I will do my best to accommodate you.
Have fun and good luck!
Email: kian.kg117@gmail.com"
Emma,"I coach Public Forum at Grace Church School in NYC. My role as a HS English/writing
teacher shapes my approach to coaching and judging debate in the sense that I really care
about how your speeches are organized, warranted, and evidenced. I'm not highly
technical, and my concern is that technical language is often used to bypass the process of
explaining your arguments to me. Don't just say ""de-link"" as a shortcut; be specific and
walk me through the logic of why there's no link.
Clash is extremely important and I reward teams who respond to the particular nuances of
their opponent's logic. I can handle a moderate amount of speed if your speech is well-
organized and clearly tagged (at a minimum, slow down for taglines).
You can include me on the email chain (egolden@gcschool.org). I take evidence
comparison seriously and I will look at your sources to evaluate their credibility. However,
debate is ultimately an oral activity, and I try to base my decision solely on what I heard +
what I flowed.
Best of luck in your round!
Acton-Boxborough Regional High"
Sreenivasulu,"School
I am a parent judge and have little experience with speech debate but I have a lot of
experience as a judge in the scientific community. I request to respect each team and
avoid harsh/loud speech.
I received a professional development certificate through the Level 2: Judging Public Forum
Debate NSDA Learn course completed on: December 6, 2024. Hoping to provide better
judgment and feedback."
Ajay,
William,"williamsc@tas.tw is the best email for the evidence email chain.
Background
Director of Speech & Debate at Taipei American School in Taipei, Taiwan. Founder and
Director of the Institute for Speech and Debate (ISD). Formerly worked/coached at Hawken
School, Charlotte Latin School, Delbarton School, The Harker School, Lake Highland Prep,
Desert Vista High School, and a few others.
Update based on Emory 2025
Put the public back in PUBLIC forum. The jargon, the theory, the nonsense arguments…
y’all are killing this event and as someone who has been a part of it since 2006, it makes
me very sad. I understand that you want to win and want to do well - but what happened
to best practices? When did we stop flowing? When did we stop responding to defense
before extending our offense? Why is every extension through ink? Why are we not
analyzing the evidence that our opponents are reading? Why are we reading evidence
from 2015 in 2025 - has nothing changed in the last decade?
Yes, I’m probably a dinosaur. And maybe I’m in the minority in the judge pool. But I think if
you listen to the conversations in the hallways at Emory this weekend, you’ll hear a lot of
“what is happening?!” “Why is this happening?!” “Where did PF go?!” Etc. Ultimately, it’s up
to y’all how you want to debate - but I’m done voting for the nonsense. I’m going to hold
teams to a high standard going forward. Preserve the public in PF. Please.
Updated for Online Debate
I coach in Taipei, Taiwan. Online tournaments are most often on US timezones - but we are
still competing/judging. That means that when I'm judging you, it is the middle of the night
here. I am doing the best I can to adjust my sleep schedule (and that of my students) - but
I'm likely still going to be tired. Clarity is going to be vital. Complicated link stories, etc. are
likely a quick way to lose my ballot. Be clear. Tell a compelling story. Don't overcomplicate
the debate. That's the best way to win my ballot at 3am - and always really. But especially
at 3am.
williamsc@tas.tw is the best email for the evidence email chain.
Paradigm
You can ask me specific questions if you have them...but my paradigm is pretty simple -
answer these three questions in the round - and answer them better than your opponent,
and you're going to win my ballot:
1. Where am I voting?
2. How can I vote for you there?
3. Why am I voting there and not somewhere else?
I'm not going to do work for you. Don't try to go for everything. Make sure you weigh. Both
sides are going to be winning some sort of argument - you're going to need to tell me why
what you're winning is more important and enough to win my ballot.
If you are racist, homophobic, nativist, sexist, transphobic, or pretty much any version of
""ist"" in the round - I will drop you. There's no place for any of that in debate. Debate
should be as safe of a space as possible. Competition inherently prevents debate from
being a 100% safe space, but if you intentionally make debate unsafe for others, I will drop
you. Period.
One suggestion I have for folks is to embrace the use of y'all. All too often, words like
""guys"" are used to refer to large groups of people that are quite diverse. Pay attention to
pronouns (and enter yours on Tabroom!), and be mindful of the language you use, even in
casual references.
I am very very very very unlikely to vote for theory. I don't think PF is the best place for it
and unfortunately, I don't think it has been used in the best ways in PF so far. Also, I am
skeptical of critical arguments. If they link to the resolution, fantastic - but I don't think pre-
fiat is something that belongs in PF. If you plan on running arguments like that, it might be
worth asking me more about my preferences first - or striking me."
Cathy,"
Lay Judge, very inexperienced. I will try to do my best to evaluate the round as a traditional
lay.
Speak slowly with clarity, and be respectful to your opponents.
No Theory, No Kritiks, No Framing please. Don’t add me to any email chains either.
I am not good at flowing and I will do my best to take notes, and I will judge. If you are
winning your arguments you should be very clear as to why I should vote for your
arguments rather than your opponents.
Looking forward to some great rounds!"
Michael,"Hi, I'm new to debate. Please prioritize clarity over speed. If I can’t understand your
argument, I can’t vote on it."
Alex,
Sherry,"
dulles '25 | yale '29
sherrydebate@gmail.com
general: texas and nat circuit pf for 4 years. tech > truth barring objectively discriminatory,
offensive, or otherwise problematic arguments—i'm very bad for ""debate is JUST a game""
arguments
i can flow speed fine, but PLEASE slow down on taglines and analytics, and PLEASE be
clear, or i might just give up. i probably have a somewhat higher threshold for warranting
and implications than your typical tech judge; your path to the ballot should be clear
enough by ff that you can give a flay speech
do not read tricks
i've distanced from the activity a little bit, so assume i know nothing about the topic and
that i'm a little rusty
if i'm judging you in policy or ld i'm so sorry
pref shortcuts:
larp - 1
K, theory - 2
T - 3
phil, cp - 4
tricks - 5/strike
trad/policy: i debated almost solely substance for the first 2.5 years of my career, and i'm
probably most comfortable judging this. genuinely read whatever
K: i initiated a k in almost every single hypertech round i debated for the latter 1.5 years of
my career, but i read mostly topical, stock stuff (cap, sec, etc.). used to love them, but now
i'm quite tired of thinking. should still be good for kvk and like anything under the sun, but
don't assume i know your lit at all
theory: okay with this. you need to extend every part of the shell that you want me to
evaluate, and you need to read the shell in the speech directly after the violation. i default
reasonability > ci
T: definitely familiar with pf T, but there's a 50/50 chance i'll get overwhelmed if you
spread through blippy ld warrants
phil: i've read some lit outside of the debate space; err on over-explanation
feel free to ask if you have any questions! i probably have opinions :)"
Jess,"I'm the mother of a PF debater, he's writing this paradigm for me (I normally use better
grammar).
I'm a lay judge - treat me as such.
SPEAKING: Speak slowly and clearly (duh, lay judge).
HIGH DEBATE: When you see the words lay judge, you def shouldn't be running theory,
kritiks or tricks, but I'll put this in there jus in case someone decides to be weird.
LAY CASES: Being a lay judge doesn't rlly mean you need to have a rlly stock case. I can
understand more complex arguments and I've been trained in flowing, so I can follow
along pretty well.
CROSSFIRES: I don't flow crossfires if you think somethings important bring it up in your
speech
NEW ARGUMENTS: Ik everyone wants to run new arguments in final focus the moment
they see they have a lay judge - don't be a bad person. Also, again, I understand the rules
of debate pretty well so I'll probably catch you if you do this.
BEHAVIOR: Be nice to each other, don't say anything discriminatory, hateful, harmful and
or profane or I'll vote against you and dock a whole lotta speaker points so obv don't do
that (I feel like this goes without saying but most judges put this in their paradigm so i
guess i will too)
SPEAKER POINTS: Here's the fun part
If you say ronaldos better than messi i will give you 0 speaker points and give you a loss
(joking? my mom wants me to say that im joking idk)
If you even say the word ""seahawks"" dont expect good speaker points (joking?)
references to My Little Pony will get you bonus speaker pts - if you sing one of the songs
even more speaker pts at the cost of your self respect (definitely a joke - but you should
test this)
I respect professionalism (even if my son doesn't) and wish you all the best."
Lucian,"I am a new parent judge, treat me as such. No kritiks, theories, tricks, etc.
I don’t flow crossfire - if you want me to evaluate something from cross, bring it up in a
speech.
Truth > Tech
Don’t bring up new arguments in Final Focus - I will notice, so don’t waste your time.
Speak at a reasonable pace - quality > quantity.
Obviously don’t be rude to your opponents.
Good luck and have fun!"
Idris,"me muster up a significant amount of experience in a wide range of debate formats/styles
such as; the British Parliamentary Format, World Schools Format, World Scholars Format,
Public Forum, Lincoln-Douglas, Asian Parliamentary, and Speech Events.
Judging Pattern:
I always approach any debate I'm about to judge as a globally informed citizen, whilst
making sure I toss any conceivable personal biases I may have about a topic aside. This
means that to convince me in a debate room you must make sure your arguments are
credibly realistic and persuasive within the scope of the debate. A couple of things to bear
in mind about my judging pattern -
• State your contentions/arguments clearly and back them up with enough analysis to
prove your case.
• Make sure you're creating a fair means of engagement towards your opposition. This
means that I do not expect you to just present your contentions in a vacuum and expect
them to win - I also expect that you challenge the contentions of the opposition and create
comparatives to show why your contentions are superior.
• Ensure you highlight your arguments in a well-organized structure - I do not expect that
in the middle of contention A, you then transition to contention B abruptly. Take your time
to fully explain your contentions while also being time-conscious.
• Role fulfilment is also important. So make sure you fulfil your roles perfectly.
• For Speech Events - I appreciate absolute creativity during your presentation. I expect
that you use all that is within your means to execute whichever role you're taking on in
whatever speech event I am judging you in. I take notes of your eye contact, body
language, energy, and expressions while speaking.
Side Notes:
• I have a slight preference for medium-paced speeches. This does not however mean that
if you're naturally a pacy speaker, you're automatically disadvantaged when I'm judging
you. I would give your speech equal attention and assessment on a meritocratic basis
regardless of how fast you speak, but if you can, just take deep breaths as you present
your speech rather than zapping through.
• I admire it when competitors respect, value, and have a deep sense of mutual
understanding for each other during rounds. This means I totally detest irritable attitudes
such as rudeness, hostility, and intolerance. Kindly be on your best behaviour and be very
conscious of how you interact with your co - competitors.
Whenever you come across me in a debate room, I can guarantee you quality judging and
the most accurate feedback (either written or orally) , I also hope that in my little way, I
contribute towards the growth of your speaking journey."
Yakub,"TOC DSDS#2 General
Theory - 1
LARP - 2
Topical K - 3
Nontopical K - 4
Else - 5
'We'll send cards as needed' or 'We don't share evidence' or sending Google docs = auto
27s
Making the round actually fun, good strategy, brainrot, etc = auto 30s
PF General
email: jakobdebate@gmail.com (send all docs incl. rebuttal)
I coach at my alma mater where I competed at (Lincoln East) and currently I compete in
NFA-LD for UNL. I've also co-founded MDP (masterdebaterprepouts.com).
I'd prefer Speechdrop/Tabroom Doc share. If (hopefully not) we have to do email chains,
please clearly label them (Tournament Name, Round #, Team1 vs. Team2).
TL;DR
The single best way to win my ballot is if you go for quality over quantity cards, where your
turns are fully implicated out and any conceded links/warrants/etc. are fleshed out in the
backhalf. Please make the round easy for me to evaluate, as less intervening is a win-win
for all of us. It is detrimental to this activity to limit students to what they can and can't
read; read anything you want, however you want.
Preferences
- Too many teams tend to impact weigh their arguments without winning the link; you
must effectively warrant and be (somewhat) ahead in the link story before you can weigh.
This also means all clashing link-ins and prerequisites should preferably be resolved.
- In the debate round nothing is true: everything is tech.
- I can handle speeds upwards of 250+ wpm, but I'd prefer you to be slower on tags &
analytics, fast on the rest... thus spread with clarity.
Progressive Arguments
* I encourage you to set rules and norms through tricks and theory but don't be morally
repugnant.
* I have zero preference on 'debate norms'; I'll vote for paraphrasing good, disclosure bad,
and anything else you could possibly think of, as long as you win it.
* My defaults are no RVIs, reasonability > ci, spirit > text, DTA, in-round > out of round, and
must respond in next constructive.
* Over-explain the K; any response strategy will do but I'd rather engage in run-of-the-mill
framework + perm + alt deficit."
Abhinav,"
Flay judge. LD and IPDA background. Tech over truth.
Contentions must be clearly extended across speeches to be evaluated. Voters and
weighing must also be provided. I do not flow CX.
K's and theory are fine."
Ming,"I’m a parent judge and the dad of a 9th grader who currently competes in Public Forum.
While I haven’t judged PF before, I do have experience judging Congressional Debate, and I
believe my scores have fairly reflected student performance.
Here’s what I value in a round:
1. Please speak clearly and at a moderate volume — I should be able to hear every word without
straining.
2. I prefer logical, well-reasoned arguments over emotional appeals.
3. Be polite and respectful toward your opponents at all times.
4. Provide a clear introduction and a well-organized summary at the end.
5. Don’t interrupt your opponents aggressively — civil exchanges are appreciated.
6. Speed is fine as long as clarity is maintained.
Overall, I value clarity, organization, and respect. Make sure your arguments are well-
structured and supported by reasoning and evidence."
Timothy,"he/him/his
some familiarity with debate"
Alok,"I am a parent judge.
I would prefer that you speak slowly and understandably.
Please weigh and use good evidence ethics throughout the round.
I will judge based on how well each team argued and defended their point.
I flow a bit too so be sure to address contentions and subcontentions.
Please include me in your case /evidence distribution emails at kapooa01@gmail.com"
Arrman,"i'd prefer speechdrop but if not -- arrmanloveschai@gmail.com
--
hi! i’m arrman (he/him) and i debated in pf for 4 years at jasper and plano west and in
worlds for 1 year as a member of team usa. i’m now a freshman at ut austin and i coach
for both the national debate club and american heritage palm beach.
*i need verbal trigger warnings for arguments pertaining to self-harm and suicide, graphic
or not*
tldr -- read any and all arguments, debate however you’d like, just be accessible and kind,
the more complicated an argument is, the more explanation and judge instruction i need.
pf --
i am open to anything and everything, especially styles of debate and debate practices that
are often frowned upon because debate is getting too dogmatic. judges who say they’re
“tech > truth” but are unwilling to evaluate certain arguments or will tank your speaks for
making them are just straight up lying.
two exceptions -- a) don’t be discriminatory in any way and b) don’t lie.
there’s no right or wrong way to debate, but i do have varying levels of experience on
different types of arguments that might affect the quality of my decision.
speaks --
i feel like i’m too expressive to not inevitably nod for what i think are winning arguments so
i might as well try to actively do it.
there’s a lot above on how to gain or lose speaks generally. if i were to ever give a 30,
here’s what you’d have to do:
win paraphrasing good or disclosure bad
acquiescence (can’t give you any more than this)
make fun of anuj lohtia or satvik mahendra (has to be good)
respond to an argument in second constructive and they kick it in first rebuttal
beat the kritik without reading any evidence (excluding substance and extrapolations of it)
read gcb (greatest conceivable beings get perfect speaks duh)
the fastest way to lose speaks is being rude or just unnecessarily aggressive. be kind to
your opponents, but feel free to post round me in any way. respect would be ideal but
emotions run high and i get it."
Tanish,"Judging is a critical aspect of ensuring fairness, accuracy, and quality in competitive events
across various disciplines. The following paradigm aims to provide a comprehensive
framework on how I assess the participants fairly and effectively.
1. Clarity of Evaluation Criteria:
Define clear and specific evaluation criteria tailored to the nature of the tournament.
I ensure to understand the criteria thoroughly to maintain consistency and fairness in
evaluations.
2. Fairness and Impartiality:
I emphasize the importance of impartial judgment irrespective of personal biases or
affiliations.
I encourage to focus solely on the performance or presentation without prejudice.
3. Transparency:
I maintain transparency throughout the judging process by explaining the criteria to
participants and providing feedback when possible.
I disclose any potential conflicts of interest and ensure they do not influence judgments.
4. Feedback Mechanism:
I provide a constructive feedback to participants to facilitate their growth and
improvement.
I also offer specific feedback based on the evaluation criteria.
5. Ethical Considerations:
I Emphasize ethical behavior among participants, including confidentiality, honesty, and
integrity.
I Prohibit any form of discrimination or unfair treatment based on personal characteristics.
6. Continuous Improvement:
Solicit feedback to all participants to identify areas for improvement in the judging
process.
Regularly review and update the judging paradigm to adapt to changing needs and
emerging best practices.
Thank You for going through this Paradigm. ALL THE VERY BEST."
Daljit,"
This is my first time judging, I am a parent judge with some knowledge of the topic but
please treat me as a Lay Judge and speak without spreading and with clarity.
Your points in your topic should stand out with empirics and statistics that show numbers
and values rather than evidence that just ""states"" things.
Do NOT misrepresent your evidence to your opponents and always be clear and directed.
Summarize the cases that you believe will make you win the debate at your final speeches.
Using real world examples is very beneficial to your case.
Make sure to emphasize the futuristic implications of you and your opponents case and
compare impacts at the summary and final focus.
Please tell me the speech order and the duration of each speech, (constructive, crossfire,
rebuttal, etc).
I look forward to seeing an engaging and interesting debate"
